id,name,city,state,lat,long
260,Mountain Town Brewing Company ,Mount Pleasant,MI,43.597646,-84.7668495
261,Otter Creek Brewing,Waterbury,VT,44.33712535,-72.75549721
262,The Brewer's Art,Baltimore,MD,39.2908816,-76.610759
263,Denver Beer Company,Denver,CO,39.7348381,-104.9653271
264,Ska Brewing Company,Durango,CO,37.282249,-107.877762
265,Tractor Brewing Company,Albuquerque,NM,35.0841034,-106.650985
266,Peak Organic Brewing Company,Portland,ME,43.6610277,-70.2548596
267,Cape Cod Beer,Hyannis,MA,41.651513,-70.2825918
268,Long Trail Brewing Company,Bridgewater Corners,VT,43.5883336,-72.6561682
269,Great Raft Brewing Company,Shreveport,LA,32.5221828,-93.7651944
270,Alaskan Brewing Company,Juneau,AK,58.3019496,-134.419734
271,Notch Brewing Company,Ipswich,MA,42.67991,-70.83734
272,The Alchemist,Waterbury,VT,44.33712535,-72.75549721
273,Three Notch'd Brewing Company,Charlottesville,VA,38.0360726,-78.49973473
274,Portside Brewery,Cleveland,OH,41.5051613,-81.6934446
275,Otter Creek Brewing,Middlebury,VT,44.0072736,-73.16330105
276,Montauk Brewing Company,Montauk,NY,41.0436298,-71.94387532
277,Indeed Brewing Company,Minneapolis,MN,44.9772995,-93.2654692
278,Berkshire Brewing Company,South Deerfield,MA,42.4773097,-72.6078667
279,Foolproof Brewing Company,Pawtucket,RI,41.878711,-71.3825558
280,Headlands Brewing Company,Mill Valley,CA,37.9060368,-122.5449763
281,Bolero Snort Brewery,Ridgefield Park,NJ,40.8570442,-74.0215285
282,Thunderhead Brewing Company,Kearney,NE,40.4906216,-98.9472344
283,Defiance Brewing Company,Hays,KS,38.8791783,-99.3267702
284,Milwaukee Brewing Company,Milwaukee,WI,43.0349931,-87.922497
285,Catawba Island Brewing,Port Clinton,OH,41.5119954,-82.9376919
286,Back Forty Beer Company,Gadsden,AL,33.566428,-86.7847569
287,Four Corners Brewing Company,Dallas,TX,32.7762719,-96.7968559
288,Saint Archer Brewery,San Diego,CA,32.7174202,-117.1627728
289,Rogue Ales,Newport,OR,44.636755,-124.053442
290,Hale's Ales,Seattle,WA,47.6038321,-122.3300624
291,Tommyknocker Brewery,Idaho Springs,CO,39.74622155,-105.510091
292,Baxter Brewing Company,Lewiston,ME,44.100351,-70.2147764
293,Northampton Brewery,Northamtpon,MA,42.32316537,-72.65466405
294,Black Shirt Brewing Company,Denver,CO,39.7348381,-104.9653271
295,Wachusett Brewing Company,Westminster,MA,42.545441,-71.911972
296,Widmer Brothers Brewing Company,Portland,OR,45.5202471,-122.6741949
297,Hop Farm Brewing Company,Pittsburgh,PA,40.4416941,-79.9900861
298,Liquid Hero Brewery,York,PA,39.962398,-76.727392
299,Matt Brewing Company,Utica,NY,43.1009031,-75.2326641
300,Boston Beer Company,Boston,MA,42.3602534,-71.0582912
301,Old Forge Brewing Company,Danville,PA,40.9664806,-76.6131474
302,Utah Brewers Cooperative,Salt Lake City,UT,40.7596198,-111.8867975
303,Magic Hat Brewing Company,South Burlington,VT,44.4669941,-73.1709604
304,Blue Hills Brewery,Canton,MA,42.158932,-71.144958
305,Night Shift Brewing,Everett,MA,42.40843,-71.0536625
306,Beach Brewing Company,Virginia Beach,VA,36.8529841,-75.9774183
307,Payette Brewing Company,Garden City,ID,43.622111,-116.2381787
308,Brew Bus Brewing,Tampa,FL,27.9477595,-82.458444
309,Sockeye Brewing Company,Boise,ID,43.6166163,-116.200886
310,Pine Street Brewery,San Francisco,CA,37.7790262,-122.419906
311,Dirty Bucket Brewing Company,Woodinville,WA,47.7545827,-122.1588902
312,Jackalope Brewing Company,Nashville,TN,36.2206081,-86.69563733
313,Slanted Rock Brewing Company,Meridian,ID,43.6086295,-116.392326
314,Piney River Brewing Company,Bucryus,MO,37.34914,-90.94179
315,Cutters Brewing Company,Avon,IN,42.8545435,-77.701637
316,Iron Hill Brewery & Restaurant,Wilmington,DE,39.7459468,-75.546589
317,Marshall Wharf Brewing Company,Belfast,ME,44.4261194,-69.0067359
318,Banner Beer Company,Williamsburg,MA,37.2708788,-76.7074042
319,Dick's Brewing Company,Centralia,WA,46.7204489,-122.9614303
320,Claremont Craft Ales,Claremont,CA,34.0966764,-117.7197785
321,Rivertown Brewing Company,Lockland,OH,39.2292249,-84.4577201
322,Voodoo Brewery,Meadville,PA,41.641445,-80.151449
323,D.L. Geary Brewing Company,Portland,ME,43.6610277,-70.2548596
324,Pisgah Brewing Company,Black Mountain,NC,35.6122025,-82.3316874
325,Neshaminy Creek Brewing Company,Croydon,PA,40.0873329,-74.9034996
326,Morgan Street Brewery,Saint Louis,MO,38.6529545,-90.24111656
327,Half Acre Beer Company,Chicago,IL,41.8755616,-87.6244212
328,The Just Beer Project,Burlington,VT,44.4761601,-73.212906
329,The Bronx Brewery,Bronx,NY,40.8466508,-73.8785937
330,Dead Armadillo Craft Brewing,Tulsa,OK,36.1556805,-95.9929113
331,Catawba Brewing Company,Morganton,NC,35.7454291,-81.6870837
332,La Cumbre Brewing Company,Albuquerque,NM,35.0841034,-106.650985
333,David's Ale Works,Diamond Springs,CA,38.6798266,-120.8211942
334,The Traveler Beer Company,Burlington,VT,44.4761601,-73.212906
335,Fargo Brewing Company,Fargo,ND,46.877229,-96.789821
336,Big Sky Brewing Company,Missoula,MT,46.8701049,-113.995267
337,Nebraska Brewing Company,Papillion,NE,41.1544433,-96.0422378
338,Uncle John's Fruit House Winery,St. John's,MI,29.9032284,-81.4145468
339,Wormtown Brewery,Worcester,MA,42.2625621,-71.8018877
340,Due South Brewing Company,Boynton Beach,FL,26.5256179,-80.0666026
341,Palisade Brewing Company,Palisade,CO,46.7132862,-93.4885687
342,KelSo Beer Company,Brooklyn,NY,40.6501038,-73.9495823
343,Hardywood Park Craft Brewery,Richmond,VA,37.54076,-77.433929
344,Wolf Hills Brewing Company,Abingdon,VA,36.70908,-81.976959
345,Lavery Brewing Company,Erie,PA,42.1294712,-80.0852695
346,Manzanita Brewing Company,Santee,CA,32.8383828,-116.9739167
347,Fullsteam Brewery,Durham,NC,35.996653,-78.9018053
348,Four Horsemen Brewing Company,South Bend,IN,38.622348,-105.518825
349,Hinterland Brewery,Green Bay,WI,44.5126379,-88.0125794
350,Central Coast Brewing Company,San Luis Obispo,CA,35.3540209,-120.3757163
351,Westfield River Brewing Company,Westfield,MA,42.1390327,-72.7584859
352,Elevator Brewing Company,Columbus,OH,39.9622601,-83.0007065
353,Aslan Brewing Company,Bellingham,WA,48.7544012,-122.4788361
354,Kulshan Brewery,Bellingham,WA,48.7544012,-122.4788361
355,Pikes Peak Brewing Company,Monument,CO,39.091579,-104.86824
356,Manayunk Brewing Company,Philadelphia,PA,39.9527237,-75.1635262
357,Buckeye Brewing,Cleveland,OH,41.5051613,-81.6934446
358,Daredevil Brewing Company,Shelbyville,IN,39.5248915,-85.77725577
359,NoDa Brewing Company,Charlotte,NC,35.2272086,-80.8430827
360,Aviator Brewing Company,Fuquay-Varina,NC,35.5843849,-78.7998691
361,Wild Onion Brewing Company,Lake Barrington,IL,42.212614,-88.16715437
362,Hilliard's Beer,Seattle,WA,47.6038321,-122.3300624
363,Mikkeller,Pottstown,PA,40.2452976,-75.6496424
364,Bohemian Brewery,Midvale,UT,40.6110589,-111.8999353
365,Great River Brewery,Davenport,IA,41.5236436,-90.5776368
366,Mustang Brewing Company,Mustang,OK,35.384227,-97.7244813
367,Airways Brewing Company,Kent,WA,47.3826903,-122.2270272
368,21st Amendment Brewery,San Francisco,CA,37.7790262,-122.419906
369,Eddyline Brewery & Restaurant,Buena Vista,CO,42.7445814,-95.1127525
370,Pizza Port Brewing Company,Carlsbad,CA,33.1580933,-117.3505966
371,Sly Fox Brewing Company,Pottstown,PA,40.2452976,-75.6496424
372,Spring House Brewing Company,Conestoga,PA,39.9406555,-76.3463493
373,7venth Sun,Dunedin,FL,28.0197404,-82.7717684
374,Astoria Brewing Company,Astoria,OR,46.187885,-123.831256
375,Maui Brewing Company,Lahaina,HI,20.88717735,-156.6748024
376,RoughTail Brewing Company,Midwest City,OK,35.4495097,-97.3967025
377,Lucette Brewing Company,Menominee,WI,43.8991414,-89.9858018
378,Bold City Brewery,Jacksonville,FL,30.3321838,-81.655651
379,Grey Sail Brewing of Rhode Island,Westerly,RI,41.452511,-75.29174
380,Blue Blood Brewing Company,Lincoln,NE,41.1280799,-101.1313806
381,Swashbuckler Brewing Company,Manheim,PA,40.1637359,-76.3952429
382,Blue Mountain Brewery,Afton,VA,37.96312,-78.83654
383,Starr Hill Brewery,Crozet,VA,38.07132,-78.699432
384,Westbrook Brewing Company,Mt. Pleasant,SC,32.7940651,-79.8625851
385,Shipyard Brewing Company,Portland,ME,43.6610277,-70.2548596
386,Revolution Brewing,Paonia,CO,38.8683205,-107.5920018
387,Natian Brewery,Portland,OR,45.5202471,-122.6741949
388,Alltech's Lexington Brewing Company,Lexington,KY,38.0464066,-84.4970393
389,Oskar Blues Brewery (North Carol...,Brevard,NC,35.2334472,-82.7342919
390,Orlison Brewing Company,Airway Heights,WA,47.644611,-117.5932728
391,Breckenridge Brewery,Denver,CO,39.7348381,-104.9653271
392,Santa Fe Brewing Company,Santa Fe,NM,35.6876096,-105.9384569
393,Miami Brewing Company,Miami,FL,25.7741728,-80.19362
394,Schilling & Company,Seattle,WA,47.6038321,-122.3300624
395,Hops & Grain Brewery,Austin,TX,30.2711286,-97.7436995
396,White Flame Brewing Company,Hudsonville,MI,42.870889,-85.865235
397,Ruhstaller Beer Company,Sacramento,CA,38.5810606,-121.493895
